Script started on fre  9 apr 2021 17:22:38
]0;butterfly@butterfly-nuc: ~/Desktop/butterfly/often.gustav/butterfly_feedback/scripts[01;32mbutterfly@butterfly-nuc[00m:[01;34m~/Desktop/butterfly/often.gustav/butterfly_feedback/scripts[00m$ cd ..
]0;butterfly@butterfly-nuc: ~/Desktop/butterfly/often.gustav/butterfly_feedback[01;32mbutterfly@butterfly-nuc[00m:[01;34m~/Desktop/butterfly/often.gustav/butterfly_feedback[00m$ ./make-.sh[K[K[K[K.sh
-- Configuring done
-- Generating done
-- Build files have been written to: /home/butterfly/Desktop/butterfly/often.gustav/butterfly_feedback/build
[ 14%] Built target cppmisc
[ 21%] Built target networking
[ 51%] Built target butterfly
[35m[1mScanning dependencies of target overturn_controller[0m
[ 53%] [32mBuilding CXX object CMakeFiles/overturn_controller.dir/src/overturn_controller.cpp.o[0m
[ 56%] [32m[1mLinking CXX executable overturn_controller[0m
[ 56%] Built target overturn_controller
[ 60%] Built target measurements
[ 65%] Built target json_test
[ 70%] Built target thread_pool_test
[ 75%] Built target task_queue_test
[ 80%] Built target udp_test
[ 85%] Built target test_servo_control
[ 90%] Built target test_servo_pos
[ 95%] Built target test_cam
[100%] Built target test_moving_average
]0;butterfly@butterfly-nuc: ~/Desktop/butterfly/often.gustav/butterfly_feedback[01;32mbutterfly@butterfly-nuc[00m:[01;34m~/Desktop/butterfly/often.gustav/butterfly_feedback[00m$ ./overturn.sh
[inf] initializing hardware..
[inf] done
[inf] t=4.15296,torque=-0.0118478,theta=-3.15463,phi=-3.07257,dtheta=0.219945,dphi=0.424552,x=0.00712406,y=0.0850224
[inf] t=4.15411,torque=-0.0116418,theta=-3.15425,phi=-3.07237,dtheta=0.212888,dphi=0.397295,x=0.00712452,y=0.0850202
[inf] t=4.15521,torque=-0.0112407,theta=-3.15425,phi=-3.07195,dtheta=0.192412,dphi=0.379568,x=0.00712792,y=0.0850243
[inf] t=4.15638,torque=-0.0106539,theta=-3.15425,phi=-3.07179,dtheta=0.166686,dphi=0.341479,x=0.0071252,y=0.0850203
[inf] t=4.15751,torque=-0.0100909,theta=-3.15425,phi=-3.07161,dtheta=0.139193,dphi=0.316219,x=0.00712453,y=0.0850227
[inf] t=4.15868,torque=-0.00987212,theta=-3.15406,phi=-3.07124,dtheta=0.128379,dphi=0.301567,x=0.00712257,y=0.0850213
[inf] t=4.15974,torque=-0.00929061,theta=-3.15425,phi=-3.0712,dtheta=0.0990426,dphi=0.283096,x=0.0071266,y=0.085025
[inf] t=4.16086,torque=-0.00900543,theta=-3.15406,phi=-3.07103,dtheta=0.0896031,dphi=0.248964,x=0.00712404,y=0.0850142
[inf] t=4.16198,torque=-0.00840366,theta=-3.15425,phi=-3.07109,dtheta=0.0642019,dphi=0.210623,x=0.00712026,y=0.0850268
[inf] t=4.1631,torque=-0.00813543,theta=-3.15425,phi=-3.07068,dtheta=0.0460009,dphi=0.216101,x=0.00712185,y=0.0850259
[inf] t=4.16423,torque=-0.00784203,theta=-3.15425,phi=-3.07065,dtheta=0.0329245,dphi=0.198521,x=0.00712452,y=0.08502
[inf] t=4.16534,torque=-0.00747571,theta=-3.15425,phi=-3.07075,dtheta=0.0235981,dphi=0.149507,x=0.00711662,y=0.0850321
[inf] t=4.16648,torque=-0.00711667,theta=-3.15444,phi=-3.0707,dtheta=0.00343116,dphi=0.147158,x=0.00712015,y=0.0850249
[inf] t=4.16764,torque=-0.00688719,theta=-3.15444,phi=-3.07048,dtheta=-0.00731288,dphi=0.133456,x=0.00712216,y=0.0850175
[inf] t=4.16873,torque=-0.00638187,theta=-3.15463,phi=-3.07073,dtheta=-0.0252388,dphi=0.0898039,x=0.00711773,y=0.0850218
[inf] t=4.16984,torque=-0.00626789,theta=-3.15463,phi=-3.07053,dtheta=-0.0325606,dphi=0.0902445,x=0.00711845,y=0.0850264
[inf] t=4.17089,torque=-0.00594139,theta=-3.15482,phi=-3.07066,dtheta=-0.0472581,dphi=0.0751789,x=0.00712398,y=0.0850244
[inf] t=4.17195,torque=-0.00544381,theta=-3.15501,phi=-3.07075,dtheta=-0.0646851,dphi=0.0297357,x=0.00711598,y=0.0850297
[inf] t=4.17308,torque=-0.00544013,theta=-3.15501,phi=-3.07067,dtheta=-0.0693282,dphi=0.0469883,x=0.00712231,y=0.0850181
[inf] t=4.17424,torque=-0.00519778,theta=-3.15521,phi=-3.07063,dtheta=-0.0789259,dphi=0.0296094,x=0.00712607,y=0.0850258
[inf] t=4.17524,torque=-0.00478201,theta=-3.1554,phi=-3.07093,dtheta=-0.091607,dphi=-0.0135326,x=0.00711696,y=0.0850221
[inf] t=4.17631,torque=-0.00481536,theta=-3.1554,phi=-3.07092,dtheta=-0.0916185,dphi=-0.00555195,x=0.00711897,y=0.0850352
[inf] t=4.17762,torque=-0.00462642,theta=-3.15559,phi=-3.07109,dtheta=-0.097645,dphi=-0.022504,x=0.00711877,y=0.0850159
[inf] t=4.17887,torque=-0.00452294,theta=-3.15578,phi=-3.07095,dtheta=-0.106878,dphi=-0.00898889,x=0.00713111,y=0.0850172
[inf] t=4.1798,torque=-0.00410598,theta=-3.15597,phi=-3.07122,dtheta=-0.117546,dphi=-0.0609182,x=0.0071247,y=0.0850253
[inf] t=4.18589,torque=-0.00391161,theta=-3.15617,phi=-3.07141,dtheta=-0.127194,dphi=-0.0642458,x=0.00712437,y=0.0850187
[inf] t=4.18642,torque=-0.00374179,theta=-3.15636,phi=-3.07139,dtheta=-0.136606,dphi=-0.0648234,x=0.0071267,y=0.0850185
