Script started on sön 21 mar 2021 17:41:27
]0;butterfly@butterfly-nuc: ~/Desktop/butterfly/often.gustav/butterfly_feedback/scripts[01;32mbutterfly@butterfly-nuc[00m:[01;34m~/Desktop/butterfly/often.gustav/butterfly_feedback/scrippts[00m$ cd ,,[K[K..
]0;butterfly@butterfly-nuc: ~/Desktop/butterfly/often.gustav/butterfly_feedback[01;32mbutterfly@butterfly-nuc[00m:[01;34m~/Desktop/butterfly/often.gustav/butterfly_feedback[00m$ cd ...[A]0;butterfly@butterfly-nuc: ~/Desktop/butterfly/often.gustav/butterfly_feedback[01;32mbutterfly@butterfly-nuc[00m:[01;34m~/Desktop/butterfly/often.gustav/butterfly_feedback[00m$ ./overturn.sh 
[inf] initializing hardware..
[inf] done
[inf] t=4.14286,torque=0.02,theta=574.858,phi=574.872,dtheta=-0.441567,dphi=-0.625748,x=0.000929436,y=0.0854415
[inf] t=4.14321,torque=0.02,theta=574.857,phi=574.871,dtheta=-0.418485,dphi=-0.666145,x=0.000912142,y=0.0854291
[inf] t=4.14386,torque=0.02,theta=574.857,phi=574.871,dtheta=-0.389497,dphi=-0.593786,x=0.000921625,y=0.0854307
[inf] t=4.14484,torque=0.02,theta=574.857,phi=574.87,dtheta=-0.358522,dphi=-0.589274,x=0.000917662,y=0.0854342
[inf] t=4.14591,torque=0.02,theta=574.856,phi=574.87,dtheta=-0.341372,dphi=-0.566829,x=0.000914881,y=0.0854321
[inf] t=4.14706,torque=0.02,theta=574.856,phi=574.869,dtheta=-0.319737,dphi=-0.516935,x=0.000917663,y=0.0854247
[inf] t=4.14813,torque=0.02,theta=574.856,phi=574.869,dtheta=-0.284682,dphi=-0.502784,x=0.000917458,y=0.0854374
[inf] t=4.14925,torque=0.02,theta=574.856,phi=574.869,dtheta=-0.257852,dphi=-0.465748,x=0.0009183,y=0.0854395
[inf] t=4.15034,torque=0.02,theta=574.856,phi=574.868,dtheta=-0.224658,dphi=-0.465354,x=0.000905903,y=0.0854321
[inf] t=4.15141,torque=0.017819,theta=574.856,phi=574.868,dtheta=-0.20297,dphi=-0.400687,x=0.000915037,y=0.0854243
[inf] t=4.15251,torque=0.0154242,theta=574.856,phi=574.868,dtheta=-0.176492,dphi=-0.378226,x=0.000921023,y=0.0854381
[inf] t=4.15367,torque=0.0143926,theta=574.856,phi=574.867,dtheta=-0.149059,dphi=-0.385217,x=0.000907154,y=0.0854341
[inf] t=4.15473,torque=0.00948032,theta=574.856,phi=574.867,dtheta=-0.123802,dphi=-0.30461,x=0.000926247,y=0.0854392
[inf] t=4.15577,torque=0.00938396,theta=574.856,phi=574.867,dtheta=-0.100796,dphi=-0.328131,x=0.00092186,y=0.0854355
[inf] t=4.15689,torque=0.00778369,theta=574.856,phi=574.867,dtheta=-0.0811492,dphi=-0.314513,x=0.000906456,y=0.0854398
[inf] t=4.15798,torque=0.00213763,theta=574.856,phi=574.867,dtheta=-0.0517559,dphi=-0.225236,x=0.000923296,y=0.085435
[inf] t=4.15914,torque=0.00164326,theta=574.856,phi=574.867,dtheta=-0.0323954,dphi=-0.237009,x=0.000916855,y=0.085431
[inf] t=4.16083,torque=-0.00202084,theta=574.856,phi=574.867,dtheta=-0.00598152,dphi=-0.187452,x=0.000925035,y=0.0854441
[inf] t=4.16154,torque=-0.00294863,theta=574.856,phi=574.867,dtheta=0.00804975,dphi=-0.183344,x=0.000921422,y=0.0854382
[inf] t=4.16244,torque=-0.00551477,theta=574.856,phi=574.867,dtheta=0.0276121,dphi=-0.150882,x=0.000920449,y=0.0854355
[inf] t=4.16416,torque=-0.0067918,theta=574.856,phi=574.867,dtheta=0.0357411,dphi=-0.131677,x=0.000916399,y=0.0854382
[inf] t=4.1651,torque=-0.00930209,theta=574.857,phi=574.867,dtheta=0.051623,dphi=-0.0963606,x=0.000918604,y=0.0854296
[inf] t=4.16583,torque=-0.0113581,theta=574.857,phi=574.867,dtheta=0.0552394,dphi=-0.0562527,x=0.000931526,y=0.0854321
[inf] t=4.1668,torque=-0.0117976,theta=574.857,phi=574.867,dtheta=0.0664764,dphi=-0.0627303,x=0.000925935,y=0.0854406
[inf] t=4.16791,torque=-0.0126208,theta=574.857,phi=574.867,dtheta=0.0669829,dphi=-0.0441637,x=0.000919777,y=0.0854349
[inf] t=4.169,torque=-0.0150762,theta=574.857,phi=574.867,dtheta=0.0622198,dphi=0.0133168,x=0.00092986,y=0.0854429
[inf] t=4.17011,torque=-0.0154288,theta=574.857,phi=574.867,dtheta=0.068146,dphi=0.0123883,x=0.000932042,y=0.085437
[inf] t=4.17119,torque=-0.0157039,theta=574.857,phi=574.867,dtheta=0.0662037,dphi=0.0193752,x=0.000927707,y=0.0854305
[inf] t=4.17227,torque=-0.0155993,theta=574.857,phi=574.867,dtheta=0.060147,dphi=0.0250938,x=0.000922224,y=0.0854334
[inf] t=4.17339,torque=-0.0162918,theta=574.857,phi=574.867,dtheta=0.0524853,dphi=0.0480362,x=0.0009203,y=0.0854272
[inf] t=4.17446,torque=-0.0151391,theta=574.857,phi=574.867,dtheta=0.0445505,dphi=0.0333526,x=0.000909031,y=0.0854334
[inf] t=4.17558,torque=-0.016387,theta=574.857,phi=574.867,dtheta=0.0365665,dphi=0.0686944,x=0.000910203,y=0.0854355
[inf] t=4.17676,torque=-0.0148752,theta=574.857,phi=574.867,dtheta=0.0154307,dphi=0.0622244,x=0.00090769,y=0.085431
[inf] t=4.1779,torque=-0.0149704,theta=574.857,phi=574.868,dtheta=0.00426055,dphi=0.0769254,x=0.000915347,y=0.0854347
[inf] t=4.17901,torque=-0.0133449,theta=574.857,phi=574.868,dtheta=-0.0159301,dphi=0.064578,x=0.000913493,y=0.0854341
[inf] t=4.18014,torque=-0.0129685,theta=574.857,phi=574.868,dtheta=-0.0244336,dphi=0.0664719,x=0.000913619,y=0.0854329
[inf] t=4.1812,torque=-0.0120348,theta=574.856,phi=574.868,dtheta=-0.0405774,dphi=0.0661331,x=0.000916696,y=0.0854308
[inf] t=4.18232,torque=-0.00970887,theta=574.856,phi=574.868,dtheta=-0.0587976,dphi=0.0385732,x=0.000909478,y=0.0854296
[inf] t=4.18344,torque=-0.00932666,theta=574.856,phi=574.868,dtheta=-0.0781714,dphi=0.0542161,x=0.000914533,y=0.0854343
[inf] t=4.18455,torque=-0.00799994,theta=574.856,phi=574.868,dtheta=-0.0944669,dphi=0.0451225,x=0.000918915,y=0.0854296
[inf] t=4.18564,torque=-0.00638442,theta=574.856,phi=574.868,dtheta=-0.109375,dphi=0.0296315,x=0.000926328,y=0.0854351
[inf] t=4.18678,torque=-0.00448553,theta=574.855,phi=574.868,dtheta=-0.122479,dphi=0.00445468,x=0.000926364,y=0.0854291
[inf] t=4.18791,torque=-0.00354762,theta=574.855,phi=574.868,dtheta=-0.13237,dphi=-0.00199738,x=0.000933774,y=0.0854467
[inf] t=4.18902,torque=-0.00171457,theta=574.855,phi=574.868,dtheta=-0.140801,dphi=-0.0309492,x=0.000930246,y=0.0854326
[inf] t=4.1901,torque=0.000217196,theta=574.855,phi=574.867,dtheta=-0.147624,dphi=-0.0611329,x=0.000919595,y=0.0854322
[inf] t=4.19118,torque=-0.000228341,theta=574.855,phi=574.867,dtheta=-0.15357,dphi=-0.0416728,x=0.000928406,y=0.0854269
[inf] t=4.19232,torque=0.00127041,theta=574.855,phi=574.867,dtheta=-0.158156,dphi=-0.0669842,x=0.000934213,y=0.0854281
[inf] t=4.19339,torque=0.004134,theta=574.854,phi=574.867,dtheta=-0.175088,dphi=-0.105142,x=0.000928742,y=0.0854334
[inf] t=4.19474,torque=0.00403557,theta=574.854,phi=574.867,dtheta=-0.170957,dphi=-0.106168,x=0.000930385,y=0.0854318
[inf] t=4.19555,torque=0.00661047,theta=574.854,phi=574.866,dtheta=-0.182626,dphi=-0.143717,x=0.000919396,y=0.0854326
[inf] t=4.19674,torque=0.00701941,theta=574.854,phi=574.866,dtheta=-0.188407,dphi=-0.141925,x=0.000914383,y=0.0854266
